id	symbol	desc	biotype	num_transcripts	num_coding_transcripts	num_introns	H+.M+.25.0_vs_H+.M+.37.10.worst_fdr	H+.M+.25.0_vs_H+.M+.37.10.log2fc	H+.M+.25.0_vs_H+.M+.37.40.worst_fdr	H+.M+.25.0_vs_H+.M+.37.40.log2fc	H+.M+.25.0_vs_H+.M+.42.10.worst_fdr	H+.M+.25.0_vs_H+.M+.42.10.log2fc	H+.M+.25.0_vs_H+.M+.42.40.worst_fdr	H+.M+.25.0_vs_H+.M+.42.40.log2fc	H+.M-.25.0_vs_H+.M-.37.10.worst_fdr	H+.M-.25.0_vs_H+.M-.37.10.log2fc	H+.M-.25.0_vs_H+.M-.37.40.worst_fdr	H+.M-.25.0_vs_H+.M-.37.40.log2fc	H+.M-.25.0_vs_H+.M-.42.10.worst_fdr	H+.M-.25.0_vs_H+.M-.42.10.log2fc	H+.M-.25.0_vs_H+.M-.42.40.worst_fdr	H+.M-.25.0_vs_H+.M-.42.40.log2fc	H-.M+.25.0_vs_H-.M+.37.10.worst_fdr	H-.M+.25.0_vs_H-.M+.37.10.log2fc	H-.M+.25.0_vs_H-.M+.37.40.worst_fdr	H-.M+.25.0_vs_H-.M+.37.40.log2fc	H-.M+.25.0_vs_H-.M+.42.10.worst_fdr	H-.M+.25.0_vs_H-.M+.42.10.log2fc	H-.M+.25.0_vs_H-.M+.42.40.worst_fdr	H-.M+.25.0_vs_H-.M+.42.40.log2fc	H-.M-.25.0_vs_H-.M-.37.10.worst_fdr	H-.M-.25.0_vs_H-.M-.37.10.log2fc	H-.M-.25.0_vs_H-.M-.37.40.worst_fdr	H-.M-.25.0_vs_H-.M-.37.40.log2fc	H-.M-.25.0_vs_H-.M-.42.10.worst_fdr	H-.M-.25.0_vs_H-.M-.42.10.log2fc	H-.M-.25.0_vs_H-.M-.42.40.worst_fdr	H-.M-.25.0_vs_H-.M-.42.40.log2fc
YNL299W	TRF5	Non-canonical poly(A) polymerase, involved in nuclear RNA degradation as a component of the TRAMP complex; catalyzes polyadenylation of hypomodified tRNAs, and snoRNA and rRNA precursors; overlapping but non-redundant functions with Pap2p	protein_coding	1	1	0	9.371e-04	-3.329	2.945e-04	-2.425	0.003	-1.789	8.766e-05	-2.772	4.570e-04	-2.475	0.003	-1.174	0.119	-0.800	0.002	-1.536	0.009	-2.481	6.091e-04	-3.027	0.241	-0.658	0.004	-2.144	0.054	-1.594	0.027	-1.268	0.814	-0.211	0.107	-0.692
YOR157C	PUP1	Beta 2 subunit of the 20S proteasome; endopeptidase with trypsin-like activity that cleaves after basic residues; synthesized as a proprotein before being proteolytically processed for assembly into 20S particle; human homolog is subunit Z	protein_coding	1	1	0	0.535	0.164	1.000	0.000e+00	1.000	0.000e+00	0.108	-0.278	0.356	0.135	0.617	-0.088	0.358	-0.222	0.001	-0.512	1.000	0.000e+00	0.929	-0.095	0.731	-0.196	0.158	-0.351	1.000	-0.022	0.378	-0.204	0.373	-0.224	0.005	-0.688
YER175C	TMT1	Trans-aconitate methyltransferase, cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle	protein_coding	1	1	0	0.478	0.238	1.000	0.000e+00	1.000	-0.002	1.000	0.000e+00	1.000	-0.034	0.750	0.103	0.562	-0.189	0.095	-0.414	1.000	0.000e+00	0.031	0.542	0.857	0.047	0.989	0.027	1.000	-0.027	0.566	0.193	0.592	0.115	0.771	0.065
YER068C-A	YER068C-A	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.988e-04	3.666	1.000	0.000e+00	1.868e-04	2.954	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YOL108C	INO4	Transcription factor required for derepression of inositol-choline-regulated genes involved in phospholipid synthesis; forms a complex, with Ino2p, that binds the inositol-choline-responsive element through a basic helix-loop-helix domain	protein_coding	1	1	0	1.000	-0.233	0.664	-0.263	1.000	0.000e+00	1.000	0.000e+00	0.214	0.610	0.206	0.550	0.110	0.859	0.077	0.681	0.919	0.270	0.751	0.299	1.000	0.000e+00	0.625	0.278	0.674	0.440	0.037	1.412	0.233	0.751	0.118	0.890
YDR506C	YDR506C	hypothetical protein	protein_coding	1	1	0	0.063	0.530	0.063	0.384	1.000	0.000e+00	0.006	0.536	0.023	0.642	0.090	0.350	0.226	-0.469	1.000	-0.050	0.167	0.432	0.002	1.050	1.000	0.000e+00	0.120	0.355	0.610	0.440	0.023	0.965	1.000	-0.050	1.000	-0.122
YKL187C	YKL187C	hypothetical protein	protein_coding	1	1	0	2.245e-04	1.666	0.033	0.412	0.001	0.842	5.339e-05	1.340	1.000	-0.052	1.000	0.000e+00	0.079	-0.657	0.014	-0.528	0.001	1.126	0.031	0.684	0.010	0.815	0.007	0.879	1.000	0.000e+00	0.886	0.132	0.814	-0.254	0.050	-0.640
YLR045C	STU2	Microtubule-associated protein (MAP) of the XMAP215/Dis1 family; regulates microtubule dynamics during spindle orientation and metaphase chromosome alignment; interacts with spindle pole body component Spc72p	protein_coding	1	1	0	0.493	-0.385	0.003	-0.757	0.722	-0.174	1.000	-0.044	0.772	0.145	0.853	-0.072	1.000	0.000e+00	0.728	0.061	1.000	-0.043	0.026	-0.857	1.000	0.000e+00	1.000	0.056	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.406	0.311
YBR050C	REG2	Regulatory subunit of the Glc7p type-1 protein phosphatase; involved with Reg1p, Glc7p, and Snf1p in regulation of glucose-repressible genes, also involved in glucose-induced proteolysis of maltose permease	protein_coding	1	1	0	0.644	0.284	0.928	-0.196	3.481e-04	1.289	5.339e-05	1.579	1.000	0.103	0.771	-0.221	0.043	1.028	1.865e-04	1.699	0.343	0.658	1.000	0.000e+00	0.011	1.686	0.002	2.148	1.000	0.076	0.138	-1.245	0.065	1.149	0.078	0.937
YKL054C	DEF1	RNAPII degradation factor, forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex; mutant is deficient in Zip1p loading onto chromosomes during meiosis	protein_coding	1	1	0	0.059	0.396	0.512	0.135	0.257	0.185	1.000	0.000e+00	0.127	-0.279	0.179	-0.244	0.778	0.052	0.037	-0.485	0.899	-0.249	0.679	0.190	0.647	0.120	0.609	-0.184	1.000	-0.100	1.000	0.000e+00	1.000	0.000e+00	0.452	-0.256
YLR178C	TFS1	Protein that interacts with and inhibits carboxypeptidase Y and Ira2p; phosphatidylethanolamine-binding protein (PEBP) family member; targets to vacuolar membranes during stationary phase; acetylated by NatB N-terminal acetyltransferase	protein_coding	1	1	0	2.245e-04	1.718	2.291e-04	1.504	1.489e-04	1.733	5.339e-05	2.120	0.016	0.483	0.001	0.753	0.137	0.406	0.910	0.018	6.510e-04	1.096	1.988e-04	1.501	2.649e-04	1.319	1.115e-04	1.456	0.284	0.444	0.491	0.262	0.049	0.588	1.000	0.000e+00
YAR029W	YAR029W	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	0.027	1.145	0.033	1.114	2.530e-04	1.863	1.000	0.000e+00	0.062	1.008	0.132	0.860	0.001	1.756	1.000	0.000e+00	0.005	1.979	0.015	1.706	0.003	1.845	0.070	1.757	8.821e-04	2.705	0.003	2.312	6.702e-04	2.564
YGR089W	NNF2	Protein that exhibits physical and genetic interactions with Rpb8p, which is a subunit of RNA polymerases I, II, and III; computational analysis of large-scale protein-protein interaction data suggests a role in chromosome segregation	protein_coding	1	1	0	0.615	-0.299	1.000	0.000e+00	0.160	-0.511	0.087	-0.555	0.143	-0.255	1.000	0.000e+00	0.984	0.003	1.000	-0.063	0.024	-0.719	0.574	-0.174	1.000	-0.079	0.001	-1.100	0.418	-0.303	1.000	-0.038	0.499	0.170	1.000	0.000e+00
YHR159W	TDA11	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; potential Cdc28p substrate; null mutant is sensitive to expression of the top1-T722A allele	protein_coding	1	1	0	0.004	0.906	0.022	0.479	0.016	0.566	5.339e-05	1.117	0.198	0.404	0.941	0.093	0.176	0.348	4.359e-04	0.868	0.027	0.977	6.002e-04	1.351	0.023	0.820	3.080e-04	1.369	0.800	0.361	0.013	1.035	0.461	0.328	0.007	1.000
YHR026W	VMA16	Subunit c'' of the vacuolar ATPase, which functions in acidification of the vacuole; one of three proteolipid subunits of the V0 domain	protein_coding	1	1	0	0.004	-1.061	0.094	-0.295	0.297	-0.246	5.339e-05	-1.523	0.092	-0.282	0.155	-0.193	0.069	-0.407	8.612e-05	-0.932	0.779	-0.263	0.003	-0.998	0.201	-0.532	3.725e-04	-1.490	0.491	-0.271	0.005	-0.744	1.000	-0.055	8.335e-04	-0.962
YKL053W	YKL053W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ASK1	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.325e-04	2.479	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.002	1.842	0.539	-0.536	1.000	0.000e+00	0.601	0.303	0.002	1.928	1.000	0.000e+00	1.000	0.000e+00	0.628	0.402	0.011	2.163
YJL203W	PRP21	Subunit of the SF3a splicing factor complex, required for spliceosome assembly	protein_coding	1	1	0	0.459	-0.418	0.433	-0.226	0.098	-0.601	0.028	-0.777	1.000	0.043	1.000	0.000e+00	0.531	0.285	0.575	-0.264	1.000	0.000e+00	1.000	0.000e+00	0.534	-0.406	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.033
YPL130W	SPO19	Meiosis-specific prospore protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation; identified as a weak high-copy suppressor of the spo1-1 ts mutation	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.727e-04	4.477
YOR334W	MRS2	Mitochondrial inner membrane Mg(2+) channel, required for maintenance of intramitochondrial Mg(2+) concentrations at the correct level to support splicing of group II introns	protein_coding	1	1	0	1.000	-0.035	0.037	0.386	0.392	-0.422	0.066	-0.542	0.088	-0.387	0.574	0.193	0.935	-0.096	0.149	-0.342	1.000	-0.049	1.000	0.030	0.275	-0.321	0.056	-0.550	1.000	0.000e+00	0.640	0.235	0.965	-0.141	0.669	-0.197
YOL109W	ZEO1	Peripheral membrane protein of the plasma membrane that interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p; the authentic protein is detected in a phosphorylated state in highly purified mitochondria	protein_coding	1	1	0	1.000	0.000e+00	0.227	-0.207	0.170	0.383	1.000	0.000e+00	1.000	0.000e+00	0.837	-0.074	0.337	0.144	1.000	0.000e+00	0.706	-0.251	7.051e-04	-1.015	0.730	0.080	1.000	0.000e+00	0.869	-0.182	5.668e-04	-1.131	1.000	-0.041	0.294	-0.290
YGR161W-C	YGR161W-C	Putative protein of unknown function; identified by sequence comparison with hemiascomycetous yeast species	protein_coding	1	1	0	0.066	0.687	0.659	0.156	1.489e-04	1.970	5.339e-05	1.681	0.006	0.949	0.433	0.225	0.002	1.527	1.331e-04	1.470	0.256	0.633	0.440	0.348	0.015	1.285	0.002	1.650	0.385	0.712	0.075	0.921	0.011	1.437	0.003	1.578
YGR161W-B	YGR161W-B	hypothetical protein	protein_coding	1	1	1	1.000	0.000e+00	0.673	0.785	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.582	0.338	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YHR027C	RPN1	Non-ATPase base subunit of the 19S regulatory particle of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions	protein_coding	1	1	0	0.770	-0.218	0.054	-0.312	1.000	-0.044	0.075	-0.461	0.046	0.389	1.000	-0.003	1.000	0.000e+00	1.000	0.000e+00	0.613	0.239	0.694	0.184	0.509	-0.238	0.223	-0.330	1.000	0.157	0.758	0.184	1.000	0.000e+00	0.529	-0.188
YLR177W	YLR177W	hypothetical protein	protein_coding	1	1	0	2.245e-04	2.062	2.291e-04	1.392	1.489e-04	2.296	5.339e-05	2.172	0.047	0.487	0.004	0.514	0.853	-0.214	0.791	0.122	6.510e-04	1.514	1.988e-04	1.344	2.649e-04	1.937	1.115e-04	1.762	1.000	0.073	1.000	0.000e+00	1.000	-0.092	1.000	0.000e+00
YML094W	GIM5	Subunit of the heterohexameric cochaperone prefoldin complex which binds specifically to cytosolic chaperonin and transfers target proteins to it	protein_coding	1	1	1	0.148	-0.340	0.122	-0.285	0.132	-0.335	0.370	-0.205	0.164	-0.258	0.737	-0.078	0.816	-0.098	0.015	0.393	0.086	-0.585	0.097	-0.397	0.832	-0.170	0.010	-0.797	1.000	-0.136	1.000	0.000e+00	0.226	-0.383	0.945	-0.085
YBR183W	YPC1	Alkaline ceramidase that also has reverse (CoA-independent) ceramide synthase activity, catalyzes both breakdown and synthesis of phytoceramide; overexpression confers fumonisin B1 resistance	protein_coding	1	1	0	6.939e-04	1.386	0.002	0.810	1.489e-04	1.930	5.339e-05	1.929	0.030	1.270	0.001	1.965	0.030	1.250	3.416e-04	1.899	0.001	1.816	6.884e-04	1.715	2.649e-04	2.030	1.115e-04	2.123	0.035	1.863	0.177	1.105	0.003	2.296	8.261e-04	2.557
YGL213C	SKI8	Ski complex component and WD-repeat protein, mediates 3'-5' RNA degradation by the cytoplasmic exosome; also required for meiotic double-strand break recombination; null mutants have superkiller phenotype	protein_coding	1	1	0	1.000	0.000e+00	0.594	-0.105	1.000	-0.039	1.000	-0.026	1.000	-0.029	0.387	-0.185	0.780	0.037	1.000	0.000e+00	1.000	-0.142	0.664	-0.188	1.000	0.000e+00	0.980	-0.067	0.746	-0.212	0.400	-0.181	1.000	0.000e+00	0.651	-0.138
YOR200W	YOR200W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF MRM1/YOR201c	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	7.789e-04	4.013
YOR201C	MRM1	Ribose methyltransferase that modifies a functionally critical, conserved nucleotide in mitochondrial 21S rRNA	protein_coding	1	1	0	0.017	-0.887	0.734	-0.079	2.316e-04	-1.295	6.978e-04	-0.942	0.014	-0.617	0.049	-0.344	0.253	-0.376	0.470	-0.211	0.110	-0.480	0.173	-0.335	0.007	-0.869	0.036	-0.525	1.000	0.000e+00	1.000	-0.011	1.000	-0.070	1.000	0.000e+00
YML095C	RAD10	Single-stranded DNA endonuclease (with Rad1p), cleaves single-stranded DNA during nucleotide excision repair and double-strand break repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); homolog of human ERCC1 protein	protein_coding	1	1	0	0.888	0.198	0.563	0.246	0.053	0.790	2.331e-04	1.546	0.347	0.576	0.248	0.638	0.024	1.381	1.132e-04	2.273	0.625	0.492	0.076	0.911	0.686	0.296	0.037	1.101	0.700	0.490	0.006	1.870	0.138	0.848	0.001	1.997
YKL096W-A	CWP2	Covalently linked cell wall mannoprotein, major constituent of the cell wall; plays a role in stabilizing the cell wall; involved in low pH resistance; precursor is GPI-anchored	protein_coding	1	1	0	0.565	0.236	0.247	0.202	1.000	0.000e+00	0.146	-0.305	0.617	-0.094	1.000	0.000e+00	0.932	-0.172	0.039	-0.325	0.334	-0.293	0.062	-0.452	1.000	0.000e+00	0.086	-0.405	1.000	-0.160	0.170	-0.506	0.882	-0.339	0.096	-0.460
YGL212W	VAM7	Vacuolar SNARE protein that functions with Vam3p in vacuolar protein trafficking; has an N-terminal PX domain (phosphoinositide-binding module) that binds PtdIns-3-P and mediates membrane binding; SNAP-25 homolog	protein_coding	1	1	0	0.156	0.499	0.011	0.676	0.555	0.151	0.017	0.584	0.247	0.329	0.355	0.214	0.803	0.065	0.534	0.153	0.176	0.565	1.000	0.000e+00	0.988	0.000e+00	0.100	0.451	1.000	0.175	0.544	0.278	0.828	0.062	0.483	0.236
YJR125C	ENT3	Protein containing an N-terminal epsin-like domain involved in clathrin recruitment and traffic between the Golgi and endosomes; associates with the clathrin adaptor Gga2p	protein_coding	1	1	0	0.137	0.431	0.206	0.197	0.024	0.404	0.422	0.109	0.071	0.265	0.113	0.224	0.426	0.117	1.000	0.000e+00	0.085	0.436	0.100	0.399	0.195	0.276	0.493	0.174	0.510	0.223	0.424	0.234	0.945	0.009	1.000	0.000e+00
YDL189W	RBS1	Protein of unknown function, identified as a high copy suppressor of psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; proposed to bind single-stranded nucleic acids via its R3H domain	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	0.004	-0.720	1.000	-0.185	0.176	-0.301	0.222	-0.301	0.474	-0.461	0.436	-0.228	0.198	-0.500	0.010	-0.762	0.095	-0.454	0.130	-0.342	0.555	-0.308	0.087	-0.503	0.117	-0.489	0.291	-0.274
YPL263C	KEL3	Cytoplasmic protein of unknown function	protein_coding	1	1	0	6.628e-04	-2.121	5.146e-04	-1.067	2.316e-04	-1.420	5.339e-05	-3.854	2.709e-04	-2.203	0.014	-0.573	0.040	-0.886	1.132e-04	-3.264	0.010	-0.993	2.325e-04	-2.088	0.019	-0.836	2.825e-04	-3.266	0.293	-0.563	0.031	-0.981	0.136	-0.609	8.595e-04	-2.278
YDL056W	MBP1	Transcription factor involved in regulation of cell cycle progression from G1 to S phase, forms a complex with Swi6p that binds to MluI cell cycle box regulatory element in promoters of DNA synthesis genes	protein_coding	1	1	0	0.017	0.584	0.025	0.357	0.001	0.578	2.924e-04	0.644	0.966	-0.039	1.000	0.000e+00	1.000	0.050	0.190	0.203	0.272	0.333	0.409	0.230	0.012	0.637	0.062	0.507	1.000	0.151	0.920	-0.060	0.784	0.132	1.000	0.088
YCR020W-B	HTL1	Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation, chromosome stability, and establishing sister chromatid cohesion; involved in telomere maintenance	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.784	-0.184	0.505	-0.404	1.000	0.138	0.905	-0.220	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	-0.163	0.886	0.234	1.000	0.000e+00	0.783	0.271
YKL188C	PXA2	Subunit of a heterodimeric peroxisomal ATP-binding cassette transporter complex (Pxa1p-Pxa2p), required for import of long-chain fatty acids into peroxisomes; similarity to human adrenoleukodystrophy transporter and ALD-related proteins	protein_coding	1	1	0	0.220	0.342	0.073	0.403	0.063	0.384	8.766e-05	0.828	0.009	0.818	0.149	0.348	0.006	0.805	8.612e-05	1.214	0.005	1.050	0.002	1.263	0.008	0.873	2.825e-04	1.341	0.097	0.734	0.475	0.333	0.064	0.629	3.228e-04	1.375
YMR116C	ASC1	G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; represses Gcn4p in the absence of amino acid starvation	protein_coding	1	1	1	0.137	-0.349	1.000	-0.101	1.000	-0.063	5.339e-05	-2.304	0.039	-0.375	0.172	-0.213	0.192	-0.308	8.612e-05	-1.223	0.074	-0.561	1.988e-04	-1.281	0.336	-0.349	1.115e-04	-2.342	0.539	-0.299	0.006	-0.793	0.245	-0.348	1.727e-04	-1.223
YGR260W	TNA1	High affinity nicotinic acid plasma membrane permease, responsible for uptake of low levels of nicotinic acid; expression of the gene increases in the absence of extracellular nicotinic acid or para-aminobenzoate (PABA)	protein_coding	1	1	0	1.000	0.000e+00	0.410	0.156	0.029	0.394	0.098	0.281	0.002	-0.618	0.004	-0.490	0.463	-0.244	0.004	-0.522	1.000	0.060	0.016	-0.573	0.644	0.122	0.817	0.045	0.425	-0.366	3.352e-04	-1.536	1.000	0.000e+00	0.051	-0.486
YDR500C	RPL37B	Protein component of the large (60S) ribosomal subunit, has similarity to Rpl37Ap and to rat L37 ribosomal protein	protein_coding	1	1	1	0.340	-0.283	0.268	-0.238	1.000	-0.007	5.339e-05	-1.473	0.098	-0.391	0.248	-0.217	0.929	0.000e+00	0.030	-0.492	0.441	-0.318	0.002	-1.601	1.000	0.000e+00	0.051	-0.615	0.765	-0.289	0.048	-0.843	1.000	0.000e+00	1.000	-0.013
YLR046C	YLR046C	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	0.507	0.159	0.044	0.470	6.994e-05	0.902	0.194	0.268	1.000	0.000e+00	0.001	0.996	8.612e-05	1.335	1.000	0.014	1.000	0.000e+00	0.190	0.335	0.003	0.715	0.276	0.445	0.043	0.585	0.002	0.935	1.727e-04	1.297
YKL055C	OAR1	Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase, may comprise a type II mitochondrial fatty acid synthase along with Mct1p	protein_coding	1	1	0	1.000	-0.121	1.000	0.000e+00	1.000	0.000e+00	0.001	-1.850	0.297	-0.562	1.000	0.088	0.478	-0.624	0.244	-0.584	1.000	-0.164	0.647	-0.211	0.686	-0.383	0.074	-1.179	0.800	0.458	0.117	0.981	1.000	0.113	1.000	0.000e+00
YBL002W	HTB2	Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation	protein_coding	1	1	0	1.000	0.065	2.945e-04	-0.733	0.998	0.000e+00	5.339e-05	-1.049	0.972	-0.044	5.282e-04	-0.787	1.000	0.000e+00	8.612e-05	-1.021	0.530	-0.246	3.490e-04	-1.207	1.000	0.000e+00	0.001	-0.875	1.000	-0.015	5.668e-04	-1.157	1.000	0.000e+00	0.001	-0.908
YPL131W	RPL5	Protein component of the large (60S) ribosomal subunit with similarity to E. coli L18 and rat L5 ribosomal proteins; binds 5S rRNA and is required for 60S subunit assembly	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	5.339e-05	-1.747	0.107	-0.286	0.320	-0.162	0.820	-0.132	8.612e-05	-1.423	0.120	-0.504	1.988e-04	-1.767	1.000	-0.054	1.115e-04	-1.801	0.739	-0.242	3.352e-04	-1.261	0.448	-0.271	1.727e-04	-1.406
YMR115W	MGR3	Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr1p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA	protein_coding	1	1	0	1.000	-0.059	0.364	-0.308	0.925	-0.117	1.000	-0.026	0.788	0.177	0.851	-0.134	0.953	-0.112	0.032	-1.003	0.438	0.480	1.000	0.000e+00	1.000	-0.090	1.000	-0.069	1.000	0.000e+00	1.000	0.000e+00	0.612	-0.370	0.117	-0.772
YIL133C	RPL16A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA; has similarity to Rpl16Bp, E. coli L13 and rat L13a ribosomal proteins; transcriptionally regulated by Rap1p	protein_coding	1	1	1	0.004	-0.647	0.379	-0.177	0.211	-0.231	5.339e-05	-2.094	0.002	-0.559	0.103	-0.238	0.061	-0.413	8.612e-05	-1.823	0.003	-0.829	1.988e-04	-2.167	0.047	-0.474	1.115e-04	-1.785	0.146	-0.441	3.352e-04	-2.272	0.046	-0.510	1.727e-04	-2.051
YER093C-A	AIM11	Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron	protein_coding	1	1	1	0.048	0.656	0.072	0.433	9.284e-04	0.896	0.004	0.671	1.000	0.000e+00	0.787	-0.114	0.380	0.185	1.000	0.000e+00	0.611	0.235	0.057	0.557	0.036	0.596	0.308	0.268	1.000	0.000e+00	0.584	0.250	0.538	0.170	1.000	0.000e+00
YJR123W	RPS5	Protein component of the small (40S) ribosomal subunit, the least basic of the non-acidic ribosomal proteins; phosphorylated in vivo; essential for viability; has similarity to E. coli S7 and rat S5 ribosomal proteins	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	5.339e-05	-2.158	0.089	-0.283	0.365	-0.140	0.378	-0.226	8.612e-05	-1.912	0.089	-0.512	1.988e-04	-1.796	0.760	-0.168	1.115e-04	-2.302	0.412	-0.343	3.352e-04	-1.917	0.111	-0.434	1.727e-04	-2.155
YML093W	UTP14	Subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit	protein_coding	1	1	0	2.245e-04	-5.813	5.146e-04	-2.157	1.489e-04	-4.058	1.950e-04	-7.252	2.709e-04	-5.952	6.646e-04	-1.437	5.576e-04	-2.729	8.612e-05	-4.489	0.002	-2.850	3.791e-04	-4.010	6.189e-04	-3.340	1.446e-04	-5.124	0.044	-1.237	0.008	-1.914	0.002	-2.371	2.128e-04	-4.119
YBR051W	YBR051W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partiallly overlaps the REG2/YBR050C regulatory subunit of the Glc7p type-1 protein phosphatase	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.001	3.933
YHR028C	DAP2	Dipeptidyl aminopeptidase, synthesized as a glycosylated precursor; localizes to the vacuolar membrane; similar to Ste13p	protein_coding	1	1	0	0.200	0.293	0.009	0.401	0.670	0.071	1.000	0.077	0.114	0.329	0.140	0.242	1.000	0.000e+00	1.000	0.000e+00	0.021	0.608	0.133	0.385	0.936	0.017	1.000	0.000e+00	1.000	0.000e+00	0.781	0.175	1.000	0.000e+00	0.078	-0.372
YNL039W	BDP1	Essential subunit of RNA polymerase III transcription factor (TFIIIB), which is involved in transcription of genes encoding tRNAs, 5S rRNA, U6 snRNA, and other small RNAs	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.032	1.000	0.000e+00	0.389	0.129	0.312	-0.207	0.613	-0.106	0.346	0.165	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.524	0.147	1.000	0.000e+00	1.000	0.040	1.000	0.000e+00	0.743	0.134	1.000	0.000e+00
YOR332W	VMA4	Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	5.339e-05	-0.878	1.000	0.000e+00	1.000	-0.040	0.775	0.034	0.029	-0.351	1.000	0.000e+00	0.002	-0.722	0.151	-0.374	2.825e-04	-1.133	0.753	-0.172	0.038	-0.620	0.748	-0.163	0.002	-0.766
